::1 | - | [Mon, 24 Aug 2020 14:23:33 GMT] | GET /api/admin/user_roles_internal | HTTP/1.1 | 304 | - | http://localhost:8080/admin/add_user | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.135 Safari/537.36 | 2.960 ms | 3.331 |
::1 | - | [Mon, 24 Aug 2020 14:24:03 GMT] | GET /api/admin/user_roles_internal | HTTP/1.1 | 304 | - | http://localhost:8080/admin/add_user | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.135 Safari/537.36 | 2.707 ms | 3.428 |
::1 | - | [Mon, 24 Aug 2020 14:24:21 GMT] | GET /api/admin/user_roles_internal | HTTP/1.1 | 304 | - | http://localhost:8080/admin/add_user | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.135 Safari/537.36 | 2.268 ms | 2.536 |
::1 | - | [Mon, 24 Aug 2020 14:27:12 GMT] | GET /api/admin/user_roles_internal | HTTP/1.1 | 304 | - | http://localhost:8080/admin/add_user | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.135 Safari/537.36 | 2.362 ms | 2.647 |
::1 | - | [Mon, 24 Aug 2020 14:35:32 GMT] | GET /api/admin/next_employee_id | HTTP/1.1 | 200 | 134 | - | PostmanRuntime/7.26.3 | 26.400 ms | 27.944 |
::1 | - | [Mon, 24 Aug 2020 14:38:29 GMT] | GET /api/admin/next_employee_id | HTTP/1.1 | 200 | 8 | - | PostmanRuntime/7.26.3 | 28.713 ms | 30.247 |
::1 | - | [Mon, 24 Aug 2020 14:38:38 GMT] | GET /api/admin/next_employee_id | HTTP/1.1 | 200 | 7 | - | PostmanRuntime/7.26.3 | 27.531 ms | 29.061 |
::1 | - | [Mon, 24 Aug 2020 14:39:03 GMT] | GET /api/admin/next_employee_id | HTTP/1.1 | 200 | 1 | - | PostmanRuntime/7.26.3 | 28.271 ms | 29.835 |
::1 | - | [Mon, 24 Aug 2020 14:56:10 GMT] | GET /api/admin/next_employee_id | HTTP/1.1 | 200 | 9 | - | PostmanRuntime/7.26.3 | 29.583 ms | 32.029 |
::1 | - | [Mon, 24 Aug 2020 14:56:19 GMT] | GET /api/admin/next_employee_id | HTTP/1.1 | 200 | 9 | - | PostmanRuntime/7.26.3 | 2.685 ms | 2.939 |
::1 | - | [Mon, 24 Aug 2020 14:59:12 GMT] | GET /api/admin/next_employee_id | HTTP/1.1 | 200 | 9 | http://localhost:8080/admin/add_user | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.135 Safari/537.36 | 2.318 ms | 2.612 |
::1 | - | [Mon, 24 Aug 2020 15:00:24 GMT] | GET /api/admin/next_employee_id | HTTP/1.1 | 304 | - | http://localhost:8080/admin/add_user | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.135 Safari/537.36 | 2.273 ms | 2.503 |
::1 | - | [Mon, 24 Aug 2020 15:01:08 GMT] | GET /api/admin/user_roles_internal | HTTP/1.1 | 304 | - | http://localhost:8080/admin/add_user | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.135 Safari/537.36 | 3.049 ms | 3.391 |
::1 | - | [Mon, 24 Aug 2020 15:01:08 GMT] | GET /api/admin/next_employee_id | HTTP/1.1 | 304 | - | http://localhost:8080/admin/add_user | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.135 Safari/537.36 | 1.659 ms | 1.845 |
::1 | - | [Mon, 24 Aug 2020 16:36:24 GMT] | GET /api/admin/user_roles_internal | HTTP/1.1 | 304 | - | http://localhost:8080/admin/add_user | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.135 Safari/537.36 | 4.707 ms | 5.036 |
::1 | - | [Mon, 24 Aug 2020 16:36:24 GMT] | GET /api/admin/next_employee_id | HTTP/1.1 | 304 | - | http://localhost:8080/admin/add_user | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.135 Safari/537.36 | 2.275 ms | 2.523 |
::1 | - | [Mon, 24 Aug 2020 16:36:54 GMT] | GET /api/admin/user_roles_internal | HTTP/1.1 | 304 | - | http://localhost:8080/admin/add_user | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.135 Safari/537.36 | 2.133 ms | 2.371 |
::1 | - | [Mon, 24 Aug 2020 16:36:54 GMT] | GET /api/admin/next_employee_id | HTTP/1.1 | 304 | - | http://localhost:8080/admin/add_user | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.135 Safari/537.36 | 3.394 ms | 3.642 |
::1 | - | [Mon, 24 Aug 2020 16:39:57 GMT] | GET /api/admin/user_roles_internal | HTTP/1.1 | 304 | - | http://localhost:8080/admin/add_user | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.135 Safari/537.36 | 2.072 ms | 2.250 |
::1 | - | [Mon, 24 Aug 2020 16:39:57 GMT] | GET /api/admin/next_employee_id | HTTP/1.1 | 304 | - | http://localhost:8080/admin/add_user | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.135 Safari/537.36 | 4.468 ms | 4.756 |
::1 | - | [Mon, 24 Aug 2020 16:45:19 GMT] | GET /api/admin/user_roles_internal | HTTP/1.1 | 304 | - | http://localhost:8080/admin/add_user | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.135 Safari/537.36 | 2.354 ms | 2.603 |
::1 | - | [Mon, 24 Aug 2020 16:45:19 GMT] | GET /api/admin/next_employee_id | HTTP/1.1 | 304 | - | http://localhost:8080/admin/add_user | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.135 Safari/537.36 | 2.947 ms | 3.247 |
::1 | - | [Mon, 24 Aug 2020 16:46:31 GMT] | GET /api/admin/user_roles_internal | HTTP/1.1 | 304 | - | http://localhost:8080/admin/add_user | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.135 Safari/537.36 | 2.706 ms | 2.928 |
::1 | - | [Mon, 24 Aug 2020 16:46:31 GMT] | GET /api/admin/next_employee_id | HTTP/1.1 | 304 | - | http://localhost:8080/admin/add_user | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.135 Safari/537.36 | 1.765 ms | 1.928 |
::1 | - | [Mon, 24 Aug 2020 16:59:44 GMT] | GET /api/admin/user_roles_internal | HTTP/1.1 | 304 | - | http://localhost:8080/admin/add_user | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.135 Safari/537.36 | 2.143 ms | 2.322 |
::1 | - | [Mon, 24 Aug 2020 16:59:44 GMT] | GET /api/admin/next_employee_id | HTTP/1.1 | 304 | - | http://localhost:8080/admin/add_user | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.135 Safari/537.36 | 1.874 ms | 2.082 |
::1 | - | [Mon, 24 Aug 2020 17:21:19 GMT] | GET /api/admin/user_roles_internal | HTTP/1.1 | 304 | - | http://localhost:8080/admin/add_user | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.135 Safari/537.36 | 31.396 ms | 32.902 |
::1 | - | [Mon, 24 Aug 2020 17:21:19 GMT] | GET /api/admin/next_employee_id | HTTP/1.1 | 304 | - | http://localhost:8080/admin/add_user | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.135 Safari/537.36 | 3.257 ms | 3.580 |
::1 | - | [Mon, 24 Aug 2020 17:24:21 GMT] | GET /api/admin/user_roles_internal | HTTP/1.1 | 304 | - | http://localhost:8080/admin/add_user | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.135 Safari/537.36 | 2.592 ms | 2.872 |
::1 | - | [Mon, 24 Aug 2020 17:24:21 GMT] | GET /api/admin/next_employee_id | HTTP/1.1 | 304 | - | http://localhost:8080/admin/add_user | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.135 Safari/537.36 | 2.053 ms | 2.266 |
::1 | - | [Mon, 24 Aug 2020 17:24:46 GMT] | OPTIONS /api/admin/user | HTTP/1.1 | 204 | 0 | http://localhost:8080/admin/add_user | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.135 Safari/537.36 | 0.277 ms | 0.588 |
::1 | - | [Mon, 24 Aug 2020 17:24:46 GMT] | POST /api/admin/user | HTTP/1.1 | 201 | 39 | http://localhost:8080/admin/add_user | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.135 Safari/537.36 | 13.299 ms | 13.754 |
::1 | - | [Mon, 24 Aug 2020 17:29:39 GMT] | GET /api/admin/user_roles_internal | HTTP/1.1 | 304 | - | http://localhost:8080/admin/add_user | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.135 Safari/537.36 | 27.498 ms | 28.879 |
::1 | - | [Mon, 24 Aug 2020 17:29:39 GMT] | GET /api/admin/next_employee_id | HTTP/1.1 | 200 | 9 | http://localhost:8080/admin/add_user | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.135 Safari/537.36 | 2.914 ms | 3.350 |
::1 | - | [Mon, 24 Aug 2020 17:30:00 GMT] | OPTIONS /api/admin/user | HTTP/1.1 | 204 | 0 | http://localhost:8080/admin/add_user | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.135 Safari/537.36 | 0.246 ms | 0.559 |
::1 | - | [Mon, 24 Aug 2020 17:30:01 GMT] | POST /api/admin/user | HTTP/1.1 | 201 | 39 | http://localhost:8080/admin/add_user | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.135 Safari/537.36 | 15.276 ms | 15.685 |
